[20260820_16:43:56_535]#1994966 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000011,3,1,49,1,1990685,1994966,4281
[20260820_16:43:56_546]#1995021 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000012,3,1,50,1,1990732,1995021,4289
[20260820_16:43:56_879]#1995030 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:56_879]#1995031 | info | nwk.c (349)| aps tx retry_cnt 0 dst 006a link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:57_221]#1995074 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:57_221]#1995075 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0071 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:57_223]#1996161 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:57_224]#1996162 | info | nwk.c (349)| aps tx retry_cnt 1 dst 0002 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:57_565]#1996259 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000008,3,2,46,1,1989835,1996259,6424
[20260820_16:43:57_566]#1996262 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000013,3,1,51,1,1991254,1996261,5007
[20260820_16:43:57_908]#1996323 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:57_909]#1996325 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0021 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:59_497]#1999096 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000014,3,1,52,1,1994244,1999096,4852
[20260820_16:43:59_677]#1999154 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:59_678]#1999155 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0002 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:44:00_152]#1999573 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000015,3,1,53,1,1994277,1999573,5296
[20260820_16:44:00_157]#1999590 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000018,3,1,56,1,1995026,1999590,4564
[20260820_16:44:00_496]#1999621 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000016,3,1,54,1,1994305,1999621,5316
[20260820_16:44:00_499]#1999623 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000019,3,1,57,1,1995072,1999623,4551
[20260820_16:44:00_838]#1999649 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000017,3,1,55,1,1994902,1999649,4747
[20260820_16:44:00_849]#1999656 | info | nwk.c (255)| aps tx dst=
[20260820_16:44:00_849]#1999659 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0050 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:44:01_269]#1999690 | info | nwk.c (255)| aps tx dst=
[20260820_16:44:01_269]#1999691 | info | nwk.c (349)| aps tx retry_cnt 0 dst 002f link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:44:01_611]#1999721 | info | nwk.c (255)| aps tx dst=
[20260820_16:44:01_611]#1999722 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0003 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:44:01_626]#1999750 | info | nwk.c (255)| aps tx dst=
[20260820_16:44:01_627]#1999752 | info | nwk.c (349)| aps tx retry_cnt 0 dst 007b link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:44:01_961]#1999775 | info | nwk.c (255)| aps tx dst=
[20260820_16:44:01_962]#1999780 | info | nwk.c (349)| aps tx retry_cnt 0 dst 000a link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:44:02_298]#2000725 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000020,3,1,58,1,1996322,2000725,4403
[20260820_16:44:02_645]#2000797 | info | nwk.c (255)| aps tx dst=
[20260820_16:44:02_645]#2000799 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0045 link hplc txType 0 bakRt 0 0000 0000 packs=1
[20260820_16:44:04_053]#2003619 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011501000001,3,1,59,1,1999152,2003619,4467
[20260820_16:44:04_258]#2003683 | info | nwk.c (255)| aps tx dst=
[20260820_16:44:04_258]#2003685 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0043 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:44:04_604]#2003988 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011501000003,3,1,61,1,1999686,2003988,4302
[20260820_16:44:04_611]#2004010 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011601000001,3,1,62,1,1999719,2004010,4291
[20260820_16:44:04_948]#2004026 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011501000002,3,1,60,1,1999654,2004026,4372
[20260820_16:44:04_963]#2004056 | info | nwk.c (255)| aps tx dst=
[20260820_16:44:04_964]#2004059 | info | nwk.c (349)| aps tx retry_cnt 0 dst 000f link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:44:05_305]#2004091 | info | nwk.c (255)| aps tx dst=
[20260820_16:44:05_305]#2004092 | info | nwk.c (349)| aps tx retry_cnt 0 dst 002d link hplc txType 0 bakRt 0 0000 0000 packs=1
[20260820_16:44:05_643]#2004123 | info | nwk.c (255)| aps tx dst=
[20260820_16:44:05_644]#2004125 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0002 link hplc txType 0 bakRt 0 0000 0000 packs=2
[20260820_16:44:05_661]#2004144 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011601000002,3,1,63,1,1999747,2004144,4397
[20260820_16:44:05_989]#2004196 | info | nwk.c (255)| aps tx dst=
[20260820_16:44:05_989]#2004199 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0002 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:44:06_344]#2005991 | info | nwk.c (255)| aps tx dst=
[20260820_16:44:06_344]#2005992 | info | nwk.c (349)| aps tx retry_cnt 1 dst 000a link hplc txType 0 bakRt 0 0000 0000 packs=2
[20260820_16:44:06_668]#2006069 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011601000003,3,2,64,1,1999773,2006069,6296
[20260820_16:44:07_013]#2006134 | info | nwk.c (255)| aps tx dst=
[20260820_16:44:07_013]#2006135 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0023 link hplc txType 0 bakRt 2 0009 0008 packs=1
[20260820_16:44:07_017]#2006188 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011701000001,3,1,65,1,2000795,2006188,5393
[20260820_16:44:07_209]#2006244 | info | nwk.c (255)| aps tx dst=
[20260820_16:44:07_210]#2006245 | info | nwk.c (349)| aps tx retry_cnt 0 dst 008e link hplc txType 0 bakRt 0 0000 0000 packs=1
[20260820_16:44:09_740]#2009139 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011801000001,3,1,68,1,2004089,2009139,5050
[20260820_16:44:10_081]#2009221 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011701000003,3,1,67,1,2004054,2009221,5167
[20260820_16:44:10_086]#2009223 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011801000002,3,1,69,1,2004118,2009223,5105
[20260820_16:44:10_088]#2009225 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011801000003,3,1,70,1,2004195,2009225,5030
[20260820_16:44:10_420]#2009233 | info | nwk.c (255)| aps tx dst=
[20260820_16:44:10_420]#2009235 | info | nwk.c (349)| aps tx retry_cnt 0 dst 007d link hplc txType 0 bakRt 1 0002 0000 packs=0
[20260820_16:44:10_429]#2009258 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011701000002,3,1,66,1,2003682,2009258,5576
[20260820_16:44:10_788]#2009287 | info | nwk.c (255)| aps tx dst=
[20260820_16:44:10_788]#2009289 | info | nwk.c (349)| aps tx retry_cnt 0 dst 008b link hplc txType 0 bakRt 1 0002 0000 packs=0
[20260820_16:44:11_128]#2009320 | info | nwk.c (255)| aps tx dst=
[20260820_16:44:11_129]#2009321 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0009 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:44:11_469]#2009348 | info | nwk.c (255)| aps tx dst=
[20260820_16:44:11_469]#2009350 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0014 link hplc txType 0 bakRt 2 0009 0008 packs=0
